Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,workshops,reading and writing skills,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,Taken inputs from seniors or elders,Interested Type of Books,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
6,3,5,8,no,no,machine learning,cloud computing,medium,medium,networks,cloud computing,Testing and Maintainance Services,no,Health,Technical,smart worker,yes,yes,Mobile Applications Developer
5,4,1,3,no,yes,distro making,web technologies,excellent,excellent,IOT,security,Finance,no,Comics,Technical,hard worker,yes,no,Mobile Applications Developer
8,2,4,4,no,yes,r programming,system designing,poor,poor,hacking,developer,Testing and Maintainance Services,yes,Math,Management,smart worker,yes,yes,Mobile Applications Developer
9,0,3,5,yes,yes,information security,testing,poor,poor,data engineering,Business process analyst,Cloud Services,yes,Science fiction,Management,hard worker,yes,no,Mobile Applications Developer
9,1,7,3,yes,no,python,database security,medium,excellent,Computer Architecture,cloud computing,Finance,no,Dictionaries,Technical,smart worker,yes,no,Mobile Applications Developer
3,5,8,4,yes,no,python,system designing,medium,excellent,IOT,security,BPA,yes,Math,Management,hard worker,no,yes,Mobile Applications Developer
4,0,7,9,no,no,python,database security,excellent,medium,cloud computing,developer,BPA,yes,Fantasy,Technical,smart worker,yes,no,Mobile Applications Developer
3,5,3,1,no,no,python,cloud computing,excellent,poor,programming,testing,Testing and Maintainance Services,yes,Guide,Management,hard worker,yes,no,Mobile Applications Developer
2,5,2,2,yes,no,hadoop,hacking,medium,medium,cloud computing,system developer,BPA,no,Travel,Management,hard worker,yes,no,Mobile Applications Developer
2,2,2,6,no,no,full stack,testing,excellent,excellent,programming,system developer,BPA,no,Health,Technical,smart worker,no,yes,Mobile Applications Developer
7,5,7,4,yes,yes,machine learning,system designing,excellent,poor,Software Engineering,testing,Sales and Marketing,no,Travel,Management,hard worker,yes,no,Mobile Applications Developer
8,4,3,6,no,no,python,data science,medium,poor,Software Engineering,system developer,BPA,no,Fantasy,Management,smart worker,yes,no,Mobile Applications Developer
5,4,1,9,yes,no,python,cloud computing,excellent,medium,networks,developer,Service Based,yes,Drama,Management,hard worker,no,no,Mobile Applications Developer
7,6,3,2,yes,yes,machine learning,web technologies,excellent,poor,hacking,testing,product development,yes,Health,Technical,hard worker,yes,no,Mobile Applications Developer
8,0,5,9,yes,yes,machine learning,system designing,medium,medium,hacking,cloud computing,product development,yes,Trilogy,Technical,smart worker,yes,no,Mobile Applications Developer
7,0,5,2,yes,yes,hadoop,hacking,excellent,medium,Computer Architecture,developer,product development,yes,Trilogy,Management,smart worker,yes,no,Mobile Applications Developer
5,0,1,7,no,yes,full stack,hacking,poor,medium,Software Engineering,developer,Service Based,no,Series,Technical,hard worker,no,no,Mobile Applications Developer
2,4,3,9,yes,no,full stack,database security,medium,medium,programming,developer,Cloud Services,no,Comics,Technical,smart worker,yes,no,Mobile Applications Developer
4,0,7,9,no,yes,app development,game development,poor,excellent,hacking,cloud computing,product development,yes,Trilogy,Technical,smart worker,no,yes,Mobile Applications Developer
8,1,9,1,no,yes,machine learning,cloud computing,excellent,medium,parallel computing,cloud computing,product development,no,Trilogy,Technical,smart worker,no,no,Mobile Applications Developer
6,6,5,4,no,yes,information security,web technologies,poor,poor,data engineering,developer,Product based,yes,Self help,Technical,hard worker,no,no,Mobile Applications Developer
9,0,3,4,no,yes,shell programming,testing,medium,medium,parallel computing,system developer,Cloud Services,no,Diaries,Technical,smart worker,yes,no,Mobile Applications Developer
8,1,6,2,no,yes,distro making,web technologies,poor,medium,programming,developer,Service Based,no,Autobiographies,Technical,smart worker,no,no,Mobile Applications Developer
5,4,6,5,no,yes,app development,web technologies,excellent,medium,IOT,testing,Web Services,no,Diaries,Management,smart worker,no,no,Mobile Applications Developer
2,4,3,7,yes,yes,information security,cloud computing,excellent,poor,programming,security,SAaS services,yes,Prayer books,Technical,smart worker,no,no,Mobile Applications Developer
2,0,1,1,yes,no,full stack,web technologies,poor,excellent,cloud computing,developer,Web Services,yes,Self help,Management,smart worker,yes,yes,Mobile Applications Developer
3,6,6,1,yes,yes,hadoop,system designing,excellent,medium,IOT,security,BPA,yes,Math,Management,smart worker,yes,yes,Mobile Applications Developer
4,0,6,6,no,yes,r programming,system designing,medium,medium,programming,security,Finance,no,Journals,Management,hard worker,yes,no,Mobile Applications Developer
3,3,8,4,yes,yes,shell programming,cloud computing,poor,excellent,cloud computing,Business process analyst,Product based,yes,Journals,Technical,smart worker,yes,yes,Mobile Applications Developer
6,3,3,7,yes,no,machine learning,data science,excellent,poor,IOT,cloud computing,Service Based,yes,Mystery,Management,smart worker,no,no,Mobile Applications Developer
3,5,8,2,no,no,information security,hacking,poor,medium,Management,testing,BPA,no,Drama,Technical,smart worker,yes,no,Mobile Applications Developer
1,3,3,4,yes,no,distro making,hacking,poor,poor,programming,Business process analyst,BPA,yes,Trilogy,Technical,smart worker,yes,yes,Mobile Applications Developer
9,1,1,4,yes,yes,app development,database security,medium,poor,data engineering,security,Service Based,yes,Religion-Spirituality,Management,hard worker,no,yes,Mobile Applications Developer
7,5,9,8,yes,yes,r programming,data science,excellent,medium,programming,cloud computing,Finance,yes,Guide,Technical,smart worker,yes,no,Mobile Applications Developer
9,5,2,2,no,no,python,hacking,excellent,excellent,networks,cloud computing,product development,no,Travel,Management,hard worker,no,yes,Mobile Applications Developer
8,5,8,3,yes,no,full stack,game development,excellent,excellent,data engineering,security,Sales and Marketing,yes,Cookbooks,Technical,smart worker,no,yes,Mobile Applications Developer
3,5,7,6,no,no,python,system designing,medium,excellent,cloud computing,security,product development,no,Fantasy,Management,hard worker,yes,no,Mobile Applications Developer
5,2,1,5,no,no,full stack,hacking,poor,poor,parallel computing,cloud computing,Service Based,yes,Health,Management,smart worker,no,yes,Mobile Applications Developer
6,3,5,8,no,yes,hadoop,web technologies,excellent,medium,Management,security,product development,no,Drama,Management,hard worker,yes,no,Mobile Applications Developer
8,3,8,9,no,no,hadoop,cloud computing,excellent,medium,hacking,Business process analyst,BPA,no,Fantasy,Management,hard worker,no,no,Mobile Applications Developer
8,5,1,9,no,no,machine learning,testing,excellent,poor,data engineering,Business process analyst,Service Based,yes,Comics,Management,smart worker,yes,yes,Mobile Applications Developer
1,4,4,6,yes,yes,python,testing,excellent,medium,IOT,cloud computing,product development,no,Journals,Management,hard worker,yes,yes,Mobile Applications Developer
3,3,7,2,no,no,app development,database security,poor,medium,networks,Business process analyst,Cloud Services,no,Trilogy,Technical,smart worker,no,no,Mobile Applications Developer
5,0,3,5,no,no,information security,hacking,poor,medium,programming,system developer,Cloud Services,no,Religion-Spirituality,Technical,smart worker,no,yes,Mobile Applications Developer
3,4,4,7,yes,no,app development,hacking,poor,poor,IOT,system developer,Testing and Maintainance Services,no,Health,Management,smart worker,no,no,Mobile Applications Developer
1,3,4,9,no,no,hadoop,cloud computing,medium,medium,cloud computing,Business process analyst,Service Based,yes,Health,Technical,smart worker,yes,no,Mobile Applications Developer
4,0,8,7,yes,yes,full stack,hacking,excellent,excellent,programming,testing,Product based,no,Self help,Technical,hard worker,no,yes,Mobile Applications Developer
4,2,8,1,no,no,shell programming,database security,poor,medium,hacking,Business process analyst,Web Services,no,Health,Technical,smart worker,yes,no,Mobile Applications Developer
6,2,7,1,yes,yes,r programming,game development,medium,medium,Computer Architecture,testing,SAaS services,no,Childrens,Management,smart worker,no,no,Mobile Applications Developer
2,4,5,4,yes,no,distro making,cloud computing,medium,medium,programming,developer,Finance,no,History,Technical,hard worker,no,no,Mobile Applications Developer
6,0,5,6,no,yes,python,game development,excellent,medium,hacking,security,Cloud Services,no,Romance,Management,hard worker,yes,no,Mobile Applications Developer
7,6,1,8,yes,yes,python,game development,excellent,poor,cloud computing,developer,Cloud Services,no,Satire,Technical,hard worker,no,yes,Mobile Applications Developer
3,0,6,4,no,no,shell programming,web technologies,medium,medium,networks,cloud computing,Cloud Services,no,Guide,Technical,hard worker,no,yes,Mobile Applications Developer
3,6,3,5,no,yes,information security,testing,medium,excellent,programming,security,BPA,yes,Comics,Technical,smart worker,no,no,Mobile Applications Developer
7,4,8,5,no,no,shell programming,hacking,poor,excellent,hacking,cloud computing,Product based,no,Journals,Technical,hard worker,no,no,Mobile Applications Developer
8,4,9,5,yes,yes,app development,data science,medium,poor,Software Engineering,system developer,Product based,yes,Journals,Management,smart worker,no,yes,Mobile Applications Developer
8,6,4,3,no,yes,python,database security,poor,excellent,cloud computing,system developer,Finance,yes,Comics,Management,hard worker,yes,yes,Mobile Applications Developer
1,1,1,4,no,no,machine learning,cloud computing,excellent,excellent,data engineering,security,Product based,no,Diaries,Management,smart worker,no,yes,Mobile Applications Developer
5,2,9,3,no,yes,machine learning,game development,poor,excellent,networks,developer,Cloud Services,yes,Biographies,Management,smart worker,no,yes,Mobile Applications Developer
8,3,6,8,no,yes,app development,system designing,excellent,excellent,parallel computing,developer,Cloud Services,no,Action and Adventure,Technical,hard worker,no,no,Mobile Applications Developer
1,4,7,5,yes,yes,python,system designing,poor,medium,IOT,system developer,BPA,yes,History,Management,smart worker,no,no,Mobile Applications Developer
8,2,4,1,no,yes,app development,system designing,excellent,medium,programming,developer,Product based,no,Horror,Technical,smart worker,yes,no,Mobile Applications Developer
2,1,2,2,yes,no,information security,web technologies,medium,medium,networks,testing,BPA,yes,Satire,Technical,hard worker,no,yes,Mobile Applications Developer
1,5,7,5,yes,yes,information security,database security,medium,medium,parallel computing,developer,product development,no,Prayer books,Technical,smart worker,yes,yes,Mobile Applications Developer
9,5,1,7,no,no,full stack,hacking,poor,medium,programming,developer,Web Services,yes,Science,Technical,hard worker,no,no,Mobile Applications Developer
2,2,8,1,no,no,full stack,web technologies,poor,medium,hacking,Business process analyst,SAaS services,no,Trilogy,Technical,smart worker,no,yes,Mobile Applications Developer
4,6,5,6,no,no,hadoop,system designing,excellent,poor,networks,cloud computing,Service Based,yes,Diaries,Management,hard worker,no,yes,Mobile Applications Developer
9,3,5,6,no,yes,information security,data science,medium,excellent,Computer Architecture,security,product development,no,History,Management,smart worker,no,yes,Mobile Applications Developer
9,6,3,8,no,yes,python,hacking,excellent,poor,Computer Architecture,testing,Finance,yes,Guide,Technical,hard worker,no,no,Mobile Applications Developer
4,4,5,5,yes,no,shell programming,testing,medium,medium,cloud computing,security,Finance,no,Drama,Technical,hard worker,no,yes,Mobile Applications Developer
6,2,9,5,no,yes,information security,hacking,excellent,medium,hacking,testing,Finance,yes,Comics,Technical,smart worker,yes,yes,Mobile Applications Developer
4,3,8,1,no,yes,full stack,database security,poor,medium,IOT,Business process analyst,Testing and Maintainance Services,no,Romance,Technical,hard worker,yes,no,Mobile Applications Developer
5,2,8,9,yes,yes,python,testing,excellent,poor,cloud computing,testing,Finance,no,Self help,Management,smart worker,yes,no,Mobile Applications Developer
